cost_unit,btype,taxonomy,nocc_night,avg_struct_cost,nocc_day,avg_floor_area,rv_sqm
USD,"CR+PC/LWAL/H:1,3","CR+PC/LWAL/H:1,3",6,985250,3,1750,563
USD,"CR/LWAL/DNO/H:4,7","CR/LWAL/DNO/H:4,7",12,51500,6,515,100
USD,"CR/LWAL/DUC/H:4,7","CR/LWAL/DUC/H:4,7",6,51765,3,203,255
USD,"CR/LWAL/DUC/H:1,3","CR/LWAL/DUC/H:1,3",6,10740,3,179,60
USD,"MCF/DUC/H:1,3",CR/LWAL/_2,192,4037500,96,9500,425
USD,W+WS/H:1,CR/LWAL/_3,192,4037500,96,9500,425
USD,ER+ETR/H:1,ER+ETR/H:1,12,850000,6,2000,425
USD,"ER+ETR/H:1,2","ER+ETR/H:1,2",55,4037500,25,9500,425
USD,MCF/DNO/H:1,MCF/DNO/H:1,12,2762500,6,6500,425
USD,"MCF/DNO/H:1,3","MCF/DNO/H:1,3",12,2337500,6,5500,425
USD,"CR/LWAL/DUC/H:8,19","CR/LWAL/DUC/H:8,19",12,1168750,6,2750,425
USD,"MR/DUC/H:1,3","MR/DUC/H:1,3",12,1168750,6,2750,425
USD,"MR/DNO/H:1,3","MR/DNO/H:1,3",12,676800,6,2350,288
USD,MUR+ADO/H:1,MUR+ADO/H:1,10,32000,5,200,160
USD,"MUR+ADO/H:1,2","MUR+ADO/H:1,2",20,80000,10,500,160
USD,"MUR+STDRE/H:1,2","MUR+STDRE/H:1,2",5,105000,3,525,200
USD,MUR/H:1,MUR/H:1,10,26250,5,150,175
USD,"MUR/H:1,3","MUR/H:1,3",10,26250,5,150,175
USD,UNK,UNK,6,10740,3,179,60
USD,W+WLI/H:1,W+WLI/H:1,6,10740,3,179,60
USD,"W+WLI/H:1,3","W+WLI/H:1,3",6,10740,3,179,60
USD,"W+WS/H:1,2","W+WS/H:1,2",6,10740,3,179,60
USD,"CR/LWAL/DNO/H:1,3","CR/LWAL/DNO/H:1,3",6,10740,3,179,60
